institution,state,division,year,partic_total,recruit_total,recruit_per_athlete,aid_total,aid_per_athlete,vs_division_median
South Suburban College,IL,2-Year (JUCO),2024,126,0,0.0,428720,3402.5396825396824,0.0
Trinity Christian College,IL,NAIA,2024,267,15595,58.40823970037453,2210853,8280.348314606741,0.935229442249162
Triton College,IL,2-Year (JUCO),2024,175,0,0.0,816892,4667.954285714286,0.0
Waubonsee Community College,IL,2-Year (JUCO),2024,184,0,0.0,173564,943.2826086956521,0.0
Western Illinois University,IL,NCAA D1 (FCS),2024,358,78068,218.06703910614524,4523114,12634.396648044692,0.30937061470739713
Wheaton College,IL,NCAA D3,2024,502,144671,288.18924302788844,0,0.0,2.549963180524635
William Rainey Harper College,IL,2-Year (JUCO),2024,212,0,0.0,302484,1426.811320754717,0.0
Anderson University,IN,NCAA D3,2024,423,35527,83.98817966903073,0,0.0,0.7431462864649355
Ball State University,IN,NCAA D1 (FBS),2024,468,662905,1416.4636752136753,8475741,18110.55769230769,0.3936442267508597
Bethel University,IN,NAIA,2024,563,0,0.0,4208489,7475.113676731794,0.0
Butler University,IN,NCAA D1 (FCS),2024,469,4553948,9709.910447761195,6916337,14746.987206823027,13.775401254086205
Calumet College of Saint Joseph,IN,NAIA,2024,285,29012,101.79649122807018,3079693,10805.940350877194,1.62995968038974
DePauw University,IN,NCAA D3,2024,711,66799,93.9507735583685,0,0.0,0.831297555864927
Earlham College,IN,NCAA D3,2024,258,58728,227.62790697674419,0,0.0,2.014102870572495
University of Evansville,IN,NCAA D1 (No Football),2024,292,159415,545.9417808219179,6064858,20770.061643835616,0.6980960551198648
Franklin College,IN,NCAA D3,2024,434,24602,56.68663594470046,0,0.0,0.5015760927370989
Goshen College,IN,NAIA,2024,307,21150,68.89250814332247,4805728,15653.837133550489,1.1031029576741753
Grace College and Theological Seminary,IN,NAIA,2024,290,30571,105.41724137931034,2267598,7819.303448275862,1.687934927749338
Hanover College,IN,NCAA D3,2024,473,102926,217.60253699788584,0,0.0,1.9253961442261822
Holy Cross College,IN,NAIA,2024,114,26141,229.30701754385964,977466,8574.263157894737,3.671651041385305
Huntington University,IN,NAIA,2024,330,13708,41.53939393939394,2808662,8511.09696969697,0.6651264346365587
Purdue University Fort Wayne,IN,NCAA D1 (No Football),2024,282,181706,644.3475177304964,2930565,10392.074468085106,0.8239275249766302
Indiana University-Indianapolis,IN,NCAA D1 (No Football),2024,264,189437,717.564393939394,3181340,12050.530303030304,0.9175499848159943
University of Indianapolis,IN,NCAA D2,2024,667,111379,166.98500749625188,6859418,10283.985007496252,1.3299640779156272
Indiana Institute of Technology,IN,NAIA,2024,1057,68645,64.94323557237465,8027765,7594.858088930937,1.0398674278454316
University of Southern Indiana,IN,NCAA D2,2024,342,136321,398.59941520467834,2813436,8226.421052631578,3.1746736527367423
Indiana State University,IN,NCAA D1 (FCS),2024,426,365848,858.7981220657277,5727858,13445.676056338029,1.2183725886410006
Indiana University-Kokomo,IN,NAIA,2024,265,15174,57.260377358490565,412200,1555.4716981132076,0.9168499351233537
Indiana University-South Bend,IN,NAIA,2024,120,4561,38.00833333333333,226625,1888.5416666666667,0.6085872912195577
Indiana University-Bloomington,IN,NCAA D1 (FBS),2024,699,2586436,3700.194563662375,19385441,27733.105865522175,1.028307505041304
Indiana University-Northwest,IN,NAIA,2024,100,7900,79.0,216250,2162.5,1.2649435476345994
Indiana University-Southeast,IN,NAIA,2024,118,6408,54.30508474576271,168500,1427.9661016949153,0.8695299563658563
Indiana University-East,IN,NAIA,2024,339,9453,27.884955752212388,703075,2073.967551622419,0.4464923399346502
Manchester University,IN,NCAA D3,2024,374,52728,140.98395721925132,0,0.0,1.2474577335940382
Marian University,IN,NAIA,2024,850,51689,60.81058823529412,12536509,14748.834117647059,0.9736957115961996
Indiana Wesleyan University-Marion,IN,NAIA,2024,541,44430,82.12569316081331,4294432,7937.951940850277,1.314991970364427
University of Notre Dame,IN,NCAA D1 (FBS),2024,756,3726108,4928.714285714285,31054990,41078.0291005291,1.3697209168341293
Oakland City University,IN,NAIA,2024,437,19685,45.045766590389015,9547119,21846.95423340961,0.7212702759084404
Rose-Hulman Institute of Technology,IN,NCAA D3,2024,498,43373,87.09437751004016,0,0.0,0.7706306229473789
University of Saint Francis-Fort Wayne,IN,NAIA,2024,500,72200,144.4,3918854,7837.708,2.3121246617523563
Saint Mary-of-the-Woods College,IN,NAIA,2024,375,4746,12.656,2090840,5575.573333333334,0.202647158719791
Taylor University,IN,NAIA,2024,468,63919,136.57905982905982,3228757,6899.053418803419,2.186896208516065
Trine University,IN,NCAA D3,2024,1095,113074,103.26392694063927,0,0.0,0.9137024297243957
Valparaiso University,IN,NCAA D1 (FCS),2024,432,216853,501.974537037037,4449391,10299.516203703704,0.7121487581395464
Vincennes University,IN,2-Year (JUCO),2024,138,22274,161.40579710144928,1486736,10773.449275362318,16.950433767946834
Briar Cliff University,IA,NAIA,2024,395,40532,102.6126582278481,5158169,13058.655696202532,1.6430281003917826
Buena Vista University,IA,NCAA D3,2024,396,91219,230.3510101010101,0,0.0,2.0381974989170293
Central College,IA,NCAA D3,2024,629,70858,112.65182829888712,0,0.0,0.9967686904717223
Clarke University,IA,NAIA,2024,568,44388,78.14788732394366,12024596,21170.063380281692,1.251299567489851
Coe College,IA,NCAA D3,2024,564,72857,129.1790780141844,0,0.0,1.1430055097455978
Cornell College,IA,NCAA D3,2024,153,71394,466.62745098039215,0,0.0,4.128824540848381
Des Moines Area Community College,IA,2-Year (JUCO),2024,142,6888,48.50704225352113,458000,3225.3521126760565,5.094088451361612
Dordt University,IA,NAIA,2024,684,114413,167.2704678362573,5647410,8256.447368421053,2.678325303788537
Drake University,IA,NCAA D1 (FCS),2024,387,217012,560.7545219638243,4998364,12915.669250645995,0.7955396279556867
University of Dubuque,IA,NCAA D3,2024,596,96322,161.61409395973155,0,0.0,1.4299978192152158
Ellsworth Community College,IA,2-Year (JUCO),2024,239,4393,18.380753138075313,592668,2479.7824267782426,1.930300796297291
Emmaus Bible College,IA,Other,2024,64,18489,288.890625,0,0.0,inf
Eastern Iowa Community College District,IA,2-Year (JUCO),2024,20,0,0.0,25400,1270.0,0.0
Faith Baptist Bible College and Theological Seminary,IA,Other,2024,90,0,0.0,0,0.0,
Graceland University-Lamoni,IA,NAIA,2024,496,63377,127.77620967741936,4240169,8548.727822580646,2.04594546800832
Grand View University,IA,NAIA,2024,851,35984,42.28437132784959,6648170,7812.185663924794,0.6770549705942885
Grinnell College,IA,NCAA D3,2024,434,60861,140.23271889400922,0,0.0,1.240810608083594
Hawkeye Community College,IA,2-Year (JUCO),2024,308,11408,37.03896103896104,526011,1707.827922077922,3.889739198957402
Indian Hills Community College,IA,2-Year (JUCO),2024,396,42944,108.44444444444444,1895226,4785.924242424242,11.388564760793466
Iowa Central Community College,IA,2-Year (JUCO),2024,710,69344,97.66760563380282,1506756,2122.1915492957746,10.256808059559223
Iowa Lakes Community College,IA,2-Year (JUCO),2024,225,27940,124.17777777777778,564013,2506.7244444444445,13.040840140023338
Iowa State University,IA,NCAA D1 (FBS),2024,460,1457184,3167.791304347826,9856392,21426.93913043478,0.8803492672129333
Iowa Western Community College,IA,2-Year (JUCO),2024,830,106328,128.10602409638554,2817762,3394.8939759036143,13.453374759247023
University of Iowa,IA,NCAA D1 (FBS),2024,677,2304738,3404.3397341211225,17173520,25367.090103397342,0.946087574065873
Kirkwood Community College,IA,2-Year (JUCO),2024,112,11509,102.75892857142857,529638,4728.910714285715,10.791486081013502
Loras College,IA,NCAA D3,2024,598,94037,157.252508361204,0,0.0,1.3914055297595145
Luther College,IA,NCAA D3,2024,529,68582,129.6446124763705,0,0.0,1.147124663275992
Marshalltown Community College,IA,2-Year (JUCO),2024,125,492,3.936,332440,2659.52,0.41334889148191367
Morningside University,IA,NAIA,2024,666,23757,35.671171171171174,3221784,4837.513513513513,0.5711647823992697
Mount Mercy University,IA,NAIA,2024,602,30475,50.62292358803987,3857363,6407.579734219269,0.8105713994315239
North Iowa Area Community College,IA,2-Year (JUCO),2024,298,29983,100.61409395973155,998773,3351.587248322148,10.5662409059228
University of Northern Iowa,IA,NCAA D1 (FCS),2024,428,243339,568.5490654205607,4891771,11429.371495327103,0.8065977076657537
Northwestern College,IA,NAIA,2024,618,27567,44.60679611650485,3991801,6459.224919093851,0.7142415054205685
Northeast Iowa Community College,IA,2-Year (JUCO),2024,34,0,0.0,13225,388.97058823529414,0.0
Northwest Iowa Community College,IA,2-Year (JUCO),2024,57,35934,630.421052631579,39122,686.3508771929825,66.20524473377142
Saint Ambrose University,IA,NAIA,2024,949,156654,165.072708113804,4774547,5031.13487881981,2.6431348989762777
Simpson College,IA,NCAA D3,2024,683,76750,112.3718887262079,0,0.0,0.9942917222282035
Southeastern Community College,IA,2-Year (JUCO),2024,238,33344,140.10084033613447,643396,2703.344537815126,14.71304040869557
Southwestern Community College,IA,2-Year (JUCO),2024,125,11152,89.216,318106,2544.848,9.36924154025671
Upper Iowa University,IA,NCAA D2,2024,407,46811,115.01474201474201,2546564,6256.914004914005,0.9160431682094187
Waldorf University,IA,NAIA,2024,480,72374,150.77916666666667,3725953,7762.402083333333,2.414267518895213
Wartburg College,IA,NCAA D3,2024,858,169293,197.3111888111888,0,0.0,1.7458537358571244
Western Iowa Tech Community College,IA,2-Year (JUCO),2024,83,12930,155.78313253012047,386257,4653.698795180723,16.359955574925138
William Penn University,IA,NAIA,2024,842,112246,133.30878859857484,13313000,15811.163895486936,2.1345328098829377
Allen County Community College,KS,2-Year (JUCO),2024,274,19890,72.5912408759124,604415,2205.894160583942,7.623350850445877
Baker University,KS,NAIA,2024,583,31171,53.46655231560892,14285568,24503.54716981132,0.8561034223531298
Barton County Community College,KS,2-Year (JUCO),2024,369,21325,57.79132791327913,1519519,4117.9376693766935,6.069100947718929
Benedictine College,KS,NAIA,2024,625,52075,83.32,6081745,9730.792,1.3341151441634784
Bethany College,KS,NAIA,2024,421,21155,50.24940617577197,7943878,18869.068883610453,0.804590659677379
Bethel College-North Newton,KS,NAIA,2024,412,36857,89.45873786407768,3221249,7818.565533980583,1.4324082688696211
Butler Community College,KS,2-Year (JUCO),2024,299,62473,208.93979933110367,1771336,5924.200668896321,21.942335985763513
Central Christian College of Kansas,KS,NAIA,2024,232,31293,134.88362068965517,4549772,19611.08620689655,2.1597489325692663
Cloud County Community College,KS,2-Year (JUCO),2024,169,10434,61.739644970414204,758384,4487.4792899408285,6.483743345784456
Coffeyville Community College,KS,2-Year (JUCO),2024,349,44711,128.11174785100286,1411329,4043.922636103152,13.453975853664245
Colby Community College,KS,2-Year (JUCO),2024,210,21868,104.13333333333334,874403,4163.823809523809,10.935822637106185
Cowley County Community College,KS,2-Year (JUCO),2024,322,24497,76.0776397515528,1271552,3948.919254658385,7.9894837545388
Dodge City Community College,KS,2-Year (JUCO),2024,355,74603,210.1492957746479,1434429,4040.6450704225354,22.069354282051705
Emporia State University,KS,NCAA D2,2024,516,147030,284.9418604651163,2462662,4772.600775193799,2.26943989999556
Fort Hays State University,KS,NCAA D2,2024,511,177327,347.01956947162427,3115242,6096.3639921722115,2.763862269140336
Barclay College,KS,Other,2024,60,10000,166.66666666666666,0,0.0,inf
Friends University,KS,NAIA,2024,713,49552,69.49789621318374,4476448,6278.328190743338,1.112796397329694
Fort Scott Community College,KS,2-Year (JUCO),2024,239,13918,58.23430962343096,552690,2312.510460251046,6.115621780757044
Garden City Community College,KS,2-Year (JUCO),2024,342,73810,215.8187134502924,1294061,3783.8040935672516,22.664742369342257
Haskell Indian Nations University,KS,NAIA,2024,119,0,0.0,0,0.0,0.0
Hesston College,KS,NAIA,2024,241,58827,244.0954356846473,1429301,5930.709543568465,3.9084423591943156
Highland Community College,KS,2-Year (JUCO),2024,293,42139,143.81911262798636,694241,2369.4232081911264,15.103524079951892
Hutchinson Community College,KS,2-Year (JUCO),2024,265,94285,355.79245283018867,1530393,5775.067924528302,37.36443495299531
Independence Community College,KS,2-Year (JUCO),2024,194,14964,77.1340206185567,562008,2896.9484536082473,8.100422235321007
Johnson County Community College,KS,2-Year (JUCO),2024,162,36058,222.58024691358025,514605,3176.574074074074,23.374821729547516
Kansas City Kansas Community College,KS,2-Year (JUCO),2024,164,18800,114.63414634146342,499493,3045.689024390244,12.038591797819963
Kansas Christian College,KS,Other,2024,98,966,9.857142857142858,0,0.0,inf
University of Kansas,KS,NCAA D1 (FBS),2024,539,2440088,4527.064935064935,14731489,27331.148423005565,1.25810001837551
Newman University,KS,NCAA D2,2024,354,30114,85.0677966101695,3607858,10191.689265536723,0.6775285720276274
Kansas State University,KS,NCAA D1 (FBS),2024,446,1947734,4367.116591928251,9424612,21131.417040358745,1.2136493607583119
Kansas Wesleyan University,KS,NAIA,2024,807,36388,45.090458488228,4093427,5072.400247831474,0.721985880057845
Labette Community College,KS,2-Year (JUCO),2024,113,21123,186.92920353982302,301360,2666.902654867257,19.630838178044424
Manhattan Christian College,KS,Other,2024,65,3631,55.86153846153846,0,0.0,inf
McPherson College,KS,NAIA,2024,564,33727,59.79964539007092,12350626,21898.27304964539,0.9575085517342699
MidAmerica Nazarene University,KS,NAIA,2024,577,0,0.0,6536213,11327.925476603119,0.0
Neosho County Community College,KS,2-Year (JUCO),2024,300,60971,203.23666666666668,597064,1990.2133333333334,21.343407234539093
Fort Hays State University-Northwest Kansas Technical College,KS,2-Year (JUCO),2024,111,9879,89.0,564388,5084.576576576576,9.346557759626604
Ottawa University-Ottawa,KS,NAIA,2024,858,53585,62.45337995337995,10454783,12185.061771561772,1.0
Pittsburg State University,KS,NCAA D2,2024,307,169649,552.6026058631921,3121732,10168.508143322475,4.401243118650095
Pratt Community College,KS,2-Year (JUCO),2024,378,12500,33.06878306878307,955534,2527.867724867725,3.472801022392621
University of Saint Mary,KS,NAIA,2024,691,50329,72.83502170767004,3059488,4427.623733719248,1.1662302626701668
Seward County Community College,KS,2-Year (JUCO),2024,192,24700,128.64583333333334,649473,3382.671875,13.510064177362896
Southwestern College,KS,NAIA,2024,443,35868,80.96613995485328,4663000,10525.959367945823,1.2964252697819187
Sterling College,KS,NAIA,2024,380,10671,28.08157894736842,5443867,14325.965789473685,0.44964065945399095
Tabor College,KS,NAIA,2024,467,86875,186.02783725910064,3468275,7426.713062098501,2.9786672458394765
Washburn University,KS,NCAA D2,2024,424,116976,275.8867924528302,3567987,8415.063679245282,2.1973201608645265
Wichita State University,KS,NCAA D1 (No Football),2024,287,544100,1895.8188153310105,4778981,16651.50174216028,2.4241845608740795
Alice Lloyd College,KY,NAIA,2024,210,14406,68.6,227020,1081.047619047619,1.0984193337687784
Asbury University,KY,NCAA D3,2024,291,19302,66.3298969072165,0,0.0,0.5869018326441461
Bellarmine University,KY,NCAA D1 (No Football),2024,487,154120,316.46817248459956,6002458,12325.375770020533,0.4046680260482867
Berea College,KY,NCAA D3,2024,215,3620,16.837209302325583,0,0.0,0.14897941135007012
Brescia University,KY,NAIA,2024,304,0,0.0,2369955,7795.9046052631575,0.0
Campbellsville University,KY,NAIA,2024,827,68910,83.32527206771464,5735087,6934.808948004837,1.3341995602145966
Centre College,KY,NCAA D3,2024,656,173197,264.0198170731707,0,0.0,2.3361066686319183
University of the Cumberlands,KY,NAIA,2024,736,184267,250.36277173913044,3872268,5261.233695652174,4.0087945908775575
Eastern Kentucky University,KY,NCAA D1 (FCS),2024,395,256778,650.0708860759494,6183028,15653.235443037975,0.9222523057728412
Georgetown College,KY,NAIA,2024,518,38558,74.43629343629344,15039749,29034.26447876448,1.1918697353427223
Kentucky State University,KY,NCAA D2,2024,300,0,0.0,727046,2423.4866666666667,0.0
Kentucky Wesleyan College,KY,NCAA D2,2024,362,39862,110.11602209944752,3102008,8569.082872928177,0.8770269618277902
University of Kentucky,KY,NCAA D1 (FBS),2024,614,4008183,6527.985342019544,17151392,27933.86319218241,1.8141684726313838
Kentucky Christian University,KY,NAIA,2024,386,76389,197.89896373056996,4269838,11061.756476683939,3.1687470538551654
Lindsey Wilson College,KY,NAIA,2024,779,75463,96.87163029525033,6779972,8703.43003851091,1.5511030846939402
University of Louisville,KY,NCAA D1 (FBS),2024,610,2381433,3903.988524590164,15896536,26059.895081967214,1.0849431375461847
Midway University,KY,NAIA,2024,681,25339,37.20851688693099,3405154,5000.226138032305,0.595780675356663
Morehead State University,KY,NCAA D1 (FCS),2024,494,176548,357.38461538461536,2439382,4938.0202429149795,0.5070197614536667
Murray State University,KY,NCAA D1 (FCS),2024,358,407510,1138.296089385475,5133585,14339.622905027933,1.6148949531102554
Northern Kentucky University,KY,NCAA D1 (No Football),2024,388,170537,439.5283505154639,3281933,8458.590206185567,0.5620251433151866
University of Pikeville,KY,NAIA,2024,587,91116,155.22316865417378,4067972,6930.105621805792,2.4854246282594215
Spalding University,KY,NCAA D3,2024,272,45172,166.0735294117647,0,0.0,1.4694559061623067
Thomas More University,KY,NCAA D2,2024,575,46101,80.17565217391305,2854357,4964.099130434783,0.6385647365207666
Transylvania University,KY,NCAA D3,2024,414,28590,69.05797101449275,0,0.0,0.611040445363372
Union Commonwealth University,KY,NAIA,2024,588,6752,11.482993197278912,10235994,17408.15306122449,0.18386503990417666
Western Kentucky University,KY,NCAA D1 (FBS),2024,350,834088,2383.1085714285714,5853809,16725.16857142857,0.6622809658156839
Bossier Parish Community College,LA,2-Year (JUCO),2024,80,0,0.0,610770,7634.625,0.0
Centenary College of Louisiana,LA,NCAA D3,2024,355,82934,233.6169014084507,0,0.0,2.067094839074736
Delgado Community College,LA,2-Year (JUCO),2024,71,0,0.0,301087,4240.661971830986,0.0
Dillard University,LA,NAIA,2024,181,6959,38.447513812154696,1703722,9412.828729281768,0.6156194242946483
Nunez Community College,LA,2-Year (JUCO),2024,36,0,0.0,34376,954.8888888888889,0.0
Grambling State University,LA,NCAA D1 (FCS),2024,400,67646,169.115,3950097,9875.2425,0.2399226023368659
Louisiana State University-Alexandria,LA,NAIA,2024,177,0,0.0,487000,2751.412429378531,0.0
Louisiana State University and Agricultural & Mechanical College,LA,NCAA D1 (FBS),2024,498,5262297,10566.861445783132,12751357,25605.13453815261,2.9365977227628477
Louisiana State University-Eunice,LA,2-Year (JUCO),2024,134,2234,16.671641791044777,586918,4379.985074626866,1.7508141904247725
Louisiana State University-Shreveport,LA,NAIA,2024,128,7645,59.7265625,621174,4852.921875,0.956338352617337
Louisiana Christian University,LA,NAIA,2024,278,47594,171.20143884892087,2124861,7643.384892086331,2.741267790097492
Louisiana Tech University,LA,NCAA D1 (FBS),2024,348,813234,2336.8793103448274,5783019,16617.870689655174,0.6494335613597744
Loyola University New Orleans,LA,NAIA,2024,334,15583,46.65568862275449,10370192,31048.47904191617,0.7470482567569908
McNeese State University,LA,NCAA D1 (FCS),2024,372,326522,877.747311827957,4456342,11979.413978494624,1.2452557091207281
University of New Orleans,LA,NCAA D1 (No Football),2024,168,90000,535.7142857142857,2079166,12375.988095238095,0.6850181515059542
Nicholls State University,LA,NCAA D1 (FCS),2024,383,83308,217.51436031331593,3275238,8551.535248041775,0.30858653207586234
University of Louisiana at Monroe,LA,NCAA D1 (FBS),2024,350,319422,912.6342857142857,5372233,15349.237142857142,0.2536268483214929
Northwestern State University of Louisiana,LA,NCAA D1 (FCS),2024,339,167806,495.00294985250736,5403600,15939.823008849558,0.7022582023654832
Southeastern Louisiana University,LA,NCAA D1 (FCS),2024,389,126866,326.133676092545,5153505,13248.084832904884,0.4626842106129669
Southern University and A & M College,LA,NCAA D1 (FCS),2024,384,19521,50.8359375,3596156,9364.989583333334,0.07212068957356986
Southern University at New Orleans,LA,NAIA,2024,70,0,0.0,200000,2857.1428571428573,0.0
Southern University at Shreveport,LA,2-Year (JUCO),2024,23,0,0.0,125297,5447.695652173913,0.0
University of Louisiana at Lafayette,LA,NCAA D1 (FBS),2024,435,779141,1791.1287356321839,8464332,19458.23448275862,0.4977660200448245
Tulane University of Louisiana,LA,NCAA D1 (FBS),2024,412,1445062,3507.4320388349515,19371796,47018.922330097084,0.9747375784981557
Xavier University of Louisiana,LA,NAIA,2024,300,44460,148.2,4346738,14489.126666666667,2.3729700475879443
Bates College,ME,NCAA D3,2024,725,119647,165.03034482758622,0,0.0,1.4602255745503507
Bowdoin College,ME,NCAA D3,2024,637,156741,246.0612244897959,0,0.0,2.1772050060281654
Central Maine Community College,ME,Other,2024,146,10000,68.4931506849315,0,0.0,inf
Colby College,ME,NCAA D3,2024,693,167324,241.44877344877344,0,0.0,2.1363930027659834
Kennebec Valley Community College,ME,Other,2024,6,1000,166.66666666666666,0,0.0,inf
University of Maine at Augusta,ME,Other,2024,108,0,0.0,114636,1061.4444444444443,
University of Maine at Farmington,ME,NCAA D3,2024,242,9264,38.28099173553719,0,0.0,0.3387188168926255
University of Maine at Fort Kent,ME,Other,2024,73,1089,14.917808219178083,174500,2390.4109589041095,inf
University of Maine,ME,NCAA D1 (FCS),2024,468,435373,930.284188034188,8399388,17947.410256410258,1.3197895119061032
Maine Maritime Academy,ME,NCAA D3,2024,242,82801,342.1528925619835,0,0.0,3.0274456776258942
University of Maine at Presque Isle,ME,NCAA D3,2024,120,8544,71.2,0,0.0,0.6299935991565948
University of New England,ME,NCAA D3,2024,475,75732,159.43578947368422,0,0.0,1.4107236916418462
Saint Joseph's College of Maine,ME,NCAA D3,2024,369,6595,17.872628726287264,0,0.0,0.15814103507954017
Southern Maine Community College,ME,Other,2024,130,8000,61.53846153846154,0,0.0,inf
University of Southern Maine,ME,NCAA D3,2024,497,11871,23.885311871227366,0,0.0,0.21134260663949814
Thomas College,ME,NCAA D3,2024,351,55572,158.32478632478632,107500,306.2678062678063,1.400893286129929
Washington County Community College,ME,Other,2024,24,0,0.0,0,0.0,
Allegany College of Maryland,MD,2-Year (JUCO),2024,126,0,0.0,122205,969.8809523809524,0.0
Anne Arundel Community College,MD,2-Year (JUCO),2024,137,482,3.5182481751824817,77459,565.3941605839416,0.369477638000494
Baltimore City Community College,MD,2-Year (JUCO),2024,30,398,13.266666666666667,120000,4000.0,1.3932322053675614
Bowie State University,MD,NCAA D2,2024,322,0,0.0,1130616,3511.2298136645963,0.0
Cecil College,MD,2-Year (JUCO),2024,89,0,0.0,218905,2459.6067415730336,0.0
College of Southern Maryland,MD,2-Year (JUCO),2024,124,0,0.0,213000,1717.741935483871,0.0
Chesapeake College,MD,2-Year (JUCO),2024,87,0,0.0,50409,579.4137931034483,0.0
Washington Adventist University,MD,NAIA,2024,117,0,0.0,654832,5596.854700854701,0.0
Coppin State University,MD,NCAA D1 (No Football),2024,152,9000,59.21052631578947,1892420,12450.131578947368,0.07571253253486863
Frederick Community College,MD,2-Year (JUCO),2024,122,0,0.0,62650,513.5245901639345,0.0
Frostburg State University,MD,NCAA D2,2024,733,30613,41.76398362892224,3081729,4204.268758526603,0.33263224531321867
Garrett College,MD,2-Year (JUCO),2024,119,8888,74.6890756302521,204835,1721.3025210084033,7.843660217879451
Goucher College,MD,NCAA D3,2024,283,21291,75.23321554770318,0,0.0,0.6656803966154693
Hagerstown Community College,MD,2-Year (JUCO),2024,146,0,0.0,107878,738.8904109589041,0.0
Harford Community College,MD,2-Year (JUCO),2024,207,3524,17.02415458937198,188750,911.8357487922706,1.7878342042514332
Hood College,MD,NCAA D3,2024,383,24102,62.929503916449086,0,0.0,0.5568143913688594
Howard Community College,MD,2-Year (JUCO),2024,200,0,0.0,125896,629.48,0.0
Johns Hopkins University,MD,Other,2024,641,219342,342.1872074882995,2115319,3300.0296411856475,inf
Loyola University Maryland,MD,NCAA D1 (No Football),2024,418,297554,711.8516746411483,6821365,16319.055023923445,0.9102451275103152
University of Maryland-Baltimore County,MD,NCAA D1 (No Football),2024,352,240318,682.7215909090909,6334444,17995.579545454544,0.8729964734357996
University of Maryland-College Park,MD,NCAA D1 (FBS),2024,546,2722746,4986.714285714285,18516362,33912.75091575092,1.385839484186805
University of Maryland Eastern Shore,MD,NCAA D1 (No Football),2024,197,108368,550.0913705583756,2818909,14309.18274111675,0.7034021377959807
Montgomery College,MD,2-Year (JUCO),2024,145,0,0.0,271190,1870.2758620689656,0.0
Morgan State University,MD,NCAA D1 (FCS),2024,344,81294,236.31976744186048,7098772,20635.96511627907,0.3352656688542951
Mount St. Mary's University,MD,NCAA D1 (No Football),2024,711,252033,354.47679324894517,11528911,16215.064697609001,0.45326967030454807
Notre Dame of Maryland University,MD,NCAA D3,2024,159,3985,25.062893081761008,0,0.0,0.2217621098013418
Prince George's Community College,MD,2-Year (JUCO),2024,77,0,0.0,2347,30.48051948051948,0.0
Salisbury University,MD,NCAA D3,2024,596,21431,35.95805369127517,0,0.0,0.3181649390959624
St. Mary's College of Maryland,MD,NCAA D3,2024,455,20076,44.12307692307692,0,0.0,0.3904108993909062
Towson University,MD,NCAA D1 (FCS),2024,543,392389,722.6316758747698,8906434,16402.27255985267,1.0251939343460093
Stevenson University,MD,NCAA D3,2024,682,137940,202.25806451612902,0,0.0,1.7896248036932987
Washington College,MD,NCAA D3,2024,385,40853,106.11168831168831,0,0.0,0.9389000622480799
McDaniel College,MD,NCAA D3,2024,529,85830,162.24952741020795,0,0.0,1.4356202771715376
American International College,MA,NCAA D2,2024,604,93874,155.4205298013245,7104612,11762.602649006623,1.2378579652488648
Amherst College,MA,NCAA D3,2024,622,196015,315.136655948553,0,0.0,2.7883999453258768
Anna Maria College,MA,NCAA D3,2024,360,42139,117.05277777777778,0,0.0,1.035709280386226
Assumption University,MA,NCAA D2,2024,728,79963,109.83928571428571,4285674,5886.9148351648355,0.8748228750248136
Babson College,MA,NCAA D3,2024,473,104947,221.87526427061312,0,0.0,1.9632021952480923
Bentley University,MA,NCAA D2,2024,597,130975,219.3886097152429,5483823,9185.633165829146,1.74733632917119
Boston College,MA,NCAA D1 (FBS),2024,801,2490554,3109.305867665418,27069001,33794.008739076155,0.8640957939316224
Boston University,MA,NCAA D1 (No Football),2024,592,474453,801.4408783783783,20266977,34234.75844594595,1.024802891556388
Brandeis University,MA,NCAA D3,2024,287,76511,266.588850174216,0,0.0,2.358838050790345
Bridgewater State University,MA,NCAA D3,2024,392,7884,20.112244897959183,0,0.0,0.17795766222449672
Bristol Community College,MA,2-Year (JUCO),2024,80,0,0.0,0,0.0,0.0
Bunker Hill Community College,MA,2-Year (JUCO),2024,99,13000,131.31313131313132,0,0.0,13.790177150737245
Clark University,MA,NCAA D3,2024,366,44797,122.39617486338798,0,0.0,1.0829888584997995
Curry College,MA,NCAA D3,2024,414,62817,151.731884057971,0,0.0,1.3425578054001728
Dean College,MA,NCAA D3,2024,363,30764,84.74931129476585,0,0.0,0.7498809501212386
Emerson College,MA,NCAA D3,2024,222,74016,333.4054054054054,0,0.0,2.9500459456406594
Emmanuel College,MA,NCAA D3,2024,285,47531,166.77543859649123,0,0.0,1.4756665563528537
Endicott College,MA,NCAA D3,2024,650,36189,55.675384615384615,0,0.0,0.49262831373980137
Fisher College,MA,NAIA,2024,180,24000,133.33333333333334,0,0.0,2.134925818792573
Fitchburg State University,MA,NCAA D3,2024,363,8244,22.710743801652892,0,0.0,0.20094976442593585
Framingham State University,MA,NCAA D3,2024,381,9206,24.16272965879265,0,0.0,0.21379726156166545
Gordon College,MA,NCAA D3,2024,77,45881,595.8571428571429,0,0.0,5.272277893423269
Hampshire College,MA,Other,2024,72,0,0.0,0,0.0,
Harvard University,MA,NCAA D1 (FCS),2024,1058,2010610,1900.3875236294896,0,0.0,2.696070248752029
College of the Holy Cross,MA,NCAA D1 (FCS),2024,712,606293,851.5351123595506,14721373,20676.085674157304,1.2080685931970485
Holyoke Community College,MA,2-Year (JUCO),2024,105,0,0.0,0,0.0,0.0
Lasell University,MA,NCAA D3,2024,304,25992,85.5,0,0.0,0.756523212470349
